Par suglasnika	Relativna frekvencija
pd	0.003254073903820999
pđ	0
pf	0.000015252649621918372
pg	0.0008152278246197751
ph	0.000602742636783395
pj	0.001849252278298793
pk	0.0022621257249610663
pl	0.007627902671264902
pm	0.0015883793744204651
pn	0.00419553055289803
pp	0.0014705658049270266
pq	0
pr	0.02553188356022088
ps	0.005341583088282862
pš	0
pt	0.005165914640913182
pv	0.0019007957149521724
pw	5.259534352385646e-7
px	0.0000010519068704771292
py	0
pz	0.0010755747750628645
pž	0
qb	0
qc	0
qč	0
qć	0
qd	5.259534352385646e-7
qđ	0
qf	0
qg	0
qh	0
qj	0
qk	0
ql	5.259534352385646e-7
qm	0
qn	0
qp	0
qq	0
qr	0
qs	0
qš	0
qt	0
qv	0
qw	0
qx	0
qy	0
qz	0
qž	0
rb	0.0037237503214890373
rc	0.0027086601914786076
rč	0
rć	0
rd	0.007043568404714857
rđ	0
rf	0.0016709540637529197
rg	0.0037100755321728346
rh	0.0020533222111713562
rj	0.006770598571826042
rk	0.00603847138997396
rl	0.006488161577102932
rm	0.008749761348628761
rn	0.020122978432227483
rp	0.005359991458516212
rq	0
rr	0.0028007020426453564
rs	0.011922312469987782
rš	0
rt	0.009583923496917123
rv	0.009203133209804404
rw	5.259534352385646e-7
rx	5.259534352385646e-7
ry	5.259534352385646e-7
rz	0.006889990001625196
rž	0
sb	0.000664279188706307
sc	0.0009961558063418413
sč	0
sć	0
sd	0.0009114773032684324
sđ	0
sf	0.00032556517641267146
sg	0.0006143136123586434
sh	0.0006769020711520327
sj	0.0023452263677287595
sk	0.015562962148709126
sl	0.005442040194413428
sm	0.00581494117999757
sn	0.0055446011142849475
sp	0.006112630824342598
sq	5.259534352385646e-7
sr	0.002558237509000378
ss	0.0011039762605657471
sš	0
st	0.02281323025347274
sv	0.003582794800845102
sw	0.0000031557206114313876
sx	0.0000015778603057156938
sy	5.259534352385646e-7
sz	0.000394991029864162
sž	0
šb	0
šc	0
šč	0
šć	0
šd	0
šđ	0
šf	0
šg	0
šh	0
šj	0
šk	0
šl	0
šm	0
šn	0
šp	0
šq	0
šr	0
šs	0
šš	0
št	0
šv	0
šw	0
šx	0
šy	0
šz	0
šž	0
tb	0.001254924896479215
tc	0.001503700871347056
tč	0
tć	0
td	0.0018108576775263778
tđ	0
tf	0.0004680985573623225
tg	0.0015552443080004354
th	0.0011949662048620188
tj	0.0034339499786725882
tk	0.0059327547494910085
tl	0.006235177974753183
tm	0.005509362234123964
tn	0.012178977746384202
tp	0.006820564148173705
tq	0
tr	0.017502678417868952
ts	0.004995505727895887
tš	0
tt	0.0035096872733469415
tv	0.007335998514707499
tw	0.0000021038137409542584
tx	0
ty	0.0000010519068704771292
tz	0.0026965632624681205
tž	0
vb	0.0005522511070004928
vc	0.001294897357557346
vč	0
vć	0
vd	0.0026749991716233396
vđ	0
vf	0.00006784799314577484
vg	0.0008273247536302621
vh	0.0013248767033659443
vj	0.006294084759499902
vk	0.0018739720897550057
vl	0.007610020254466791
vm	0.0035459780603784023
vn	0.012877443908381015
vp	0.0018282141408892505
vq	0
vr	0.007245008570411228
vs	0.003589106242067965
vš	0
vt	0.003574379545881285
vv	0.0008304804742416935
vw	0.000002629767176192823
vx	5.259534352385646e-7
vy	0
vz	0.0016436044851205144
vž	0
wb	0.0000021038137409542584
wc	5.259534352385646e-7
wč	0
wć	0
wd	0
wđ	0
wf	5.259534352385646e-7
wg	0.0000010519068704771292
wh	5.259534352385646e-7
wj	0
wk	5.259534352385646e-7
wl	5.259534352385646e-7
wm	5.259534352385646e-7
wn	0.000005259534352385646
wp	0
wq	0
wr	0.0000031557206114313876
ws	0.000007363348093339904
wš	0
wt	5.259534352385646e-7
wv	0
ww	0.0000010519068704771292
wx	5.259534352385646e-7
wy	0
wz	0
wž	0
xb	0
xc	5.259534352385646e-7
xč	0
xć	0
xd	0
xđ	0
xf	0
xg	0
xh	0
xj	0
xk	0
xl	0
xm	5.259534352385646e-7
xn	0
xp	0.0000031557206114313876
xq	0
xr	0
xs	0
xš	0
xt	0
xv	0
xw	5.259534352385646e-7
xx	0.0000021038137409542584
xy	5.259534352385646e-7
xz	5.259534352385646e-7
xž	0
yb	0
yc	5.259534352385646e-7
yč	0
yć	0
yd	0.0000010519068704771292
yđ	0
yf	0
yg	5.259534352385646e-7
yh	0
yj	0.0000021038137409542584
yk	0
yl	5.259534352385646e-7
ym	0.0000015778603057156938
yn	0
yp	5.259534352385646e-7
yq	0
yr	0
ys	0.0000010519068704771292
yš	0
yt	0.000004207627481908517
yv	0.000002629767176192823
yw	0
yx	0
yy	0
yz	0
yž	0
zb	0.0024036071990402403
zc	0.0008625636337912459
zč	0
zć	0
zd	0.0022631776318315436
zđ	0
zf	0.00009782733895437302
zg	0.0018802835309778684
zh	0.00029926750465074326
zj	0.001193388344556303
zk	0.0010761007284981032
zl	0.0026339748036747317
zm	0.0037984357092929136
zn	0.004469552292657322
zp	0.0014511055278231997
zq	0
zr	0.004617345207959358
zs	0.0011755059277581918
zš	0
zt	0.0013374995858116698
zv	0.0037437365520281026
zw	0
zx	0
zy	0
zz	0.0004323337237661001
zž	0
žb	0
žc	0
žč	0
žć	0
žd	0
žđ	0
žf	0
žg	0
žh	0
žj	0
žk	0
žl	0
žm	0
žn	0
žp	0
žq	0
žr	0
žs	0
žš	0
žt	0
žv	0
žw	0
žx	0
žy	0
žz	0
žž	0
